start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,num_trips
3160,Central Park West & W 76 St,40.77896784,-73.97374737,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,9
3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,446,W 24 St & 7 Ave,40.74487634,-73.99529885,9
465,Broadway & W 41 St,40.75513557,-73.98658032,478,11 Ave & W 41 St,40.76030096,-73.99884222,9
3142,1 Ave & E 62 St,40.7612274,-73.96094022,3141,1 Ave & E 68 St,40.76500525,-73.95818491,9
359,E 47 St & Park Ave,40.75510267,-73.97498696,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,9
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,426,West St & Chambers St,40.71754834,-74.01322069,9
387,Centre St & Chambers St,40.71273266,-74.0046073,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,9
3002,South End Ave & Liberty St,40.711512,-74.015756,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,9
457,Broadway & W 58 St,40.76695317,-73.98169333,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,9
127,Barrow St & Hudson St,40.73172428,-74.00674436,346,Bank St & Hudson St,40.73652889,-74.00618026,9
304,Broadway & Battery Pl,40.70463334,-74.01361706,3002,South End Ave & Liberty St,40.711512,-74.015756,9
466,W 25 St & 6 Ave,40.74395411,-73.99144871,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,9
3235,E 41 St & Madison Ave,40.752165280621966,-73.979921936988816,498,Broadway & W 32 St,40.74854862,-73.98808416,9
445,E 10 St & Avenue A,40.72740794,-73.98142006,293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,9
3163,Central Park West & W 68 St,40.7734066,-73.97782542,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,9
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3078,Broadway & Roebling St,40.709248262761569,-73.960631489753723,9
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3292,5 Ave & E 93 St,40.7857851,-73.957481,9
524,W 43 St & 6 Ave,40.75527307,-73.98316936,492,W 33 St & 7 Ave,40.75019995,-73.99093085,9
442,W 27 St & 7 Ave,40.746647,-73.993915,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,9
446,W 24 St & 7 Ave,40.74487634,-73.99529885,462,W 22 St & 10 Ave,40.74691959,-74.00451887,9
546,E 30 St & Park Ave S,40.74444921,-73.98303529,519,Pershing Square North,40.751873,-73.977706,9
497,E 17 St & Broadway,40.73704984,-73.99009296,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,9
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,433,E 13 St & Avenue A,40.72955361,-73.98057249,9
477,W 41 St & 8 Ave,40.75640548,-73.9900262,3233,E 48 St & 5 Ave,40.757245679117261,-73.978059142827988,9
525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,9
168,W 18 St & 6 Ave,40.73971301,-73.99456405,494,W 26 St & 8 Ave,40.74734825,-73.99723551,9
466,W 25 St & 6 Ave,40.74395411,-73.99144871,388,W 26 St & 10 Ave,40.749717753,-74.002950346,9
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,9
458,11 Ave & W 27 St,40.751396,-74.005226,494,W 26 St & 8 Ave,40.74734825,-73.99723551,9
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,229,Great Jones St,40.72743423,-73.99379025,9
478,11 Ave & W 41 St,40.76030096,-73.99884222,465,Broadway & W 41 St,40.75513557,-73.98658032,9
433,E 13 St & Avenue A,40.72955361,-73.98057249,285,Broadway & E 14 St,40.73454567,-73.99074142,9
3112,Milton St & Franklin St,40.72906,-73.95779,3016,Kent Ave & N 7 St,40.720367752984551,-73.961650729179382,9
402,Broadway & E 22 St,40.7403432,-73.98955109,545,E 23 St & 1 Ave,40.736502,-73.97809472,9
3235,E 41 St & Madison Ave,40.752165280621966,-73.979921936988816,492,W 33 St & 7 Ave,40.75019995,-73.99093085,9
167,E 39 St & 3 Ave,40.7489006,-73.97604882,492,W 33 St & 7 Ave,40.75019995,-73.99093085,9
259,South St & Whitehall St,40.70122128,-74.01234218,279,Peck Slip & Front St,40.707873,-74.00167,9
453,W 22 St & 8 Ave,40.74475148,-73.99915362,435,W 21 St & 6 Ave,40.74173969,-73.99415556,9
492,W 33 St & 7 Ave,40.75019995,-73.99093085,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,9
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,3282,5 Ave & E 88 St,40.78307,-73.95939,9
212,W 16 St & The High Line,40.74334935,-74.00681753,3002,South End Ave & Liberty St,40.711512,-74.015756,9
3124,46 Ave & 5 St,40.74731,-73.95451,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,9
3002,South End Ave & Liberty St,40.711512,-74.015756,426,West St & Chambers St,40.71754834,-74.01322069,9
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,9
472,E 32 St & Park Ave,40.7457121,-73.98194829,379,W 31 St & 7 Ave,40.749156,-73.9916,9
2012,E 27 St & 1 Ave,40.739445,-73.976806,379,W 31 St & 7 Ave,40.749156,-73.9916,9
491,E 24 St & Park Ave S,40.74096374,-73.98602213,519,Pershing Square North,40.751873,-73.977706,9
358,Christopher St & Greenwich St,40.73291553,-74.00711384,405,Washington St & Gansevoort St,40.739323,-74.008119,9
293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,497,E 17 St & Broadway,40.73704984,-73.99009296,9
168,W 18 St & 6 Ave,40.73971301,-73.99456405,505,6 Ave & W 33 St,40.74901271,-73.98848395,9
3241,Monroe St & Tompkins Ave,40.686203,-73.944694,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,9
359,E 47 St & Park Ave,40.75510267,-73.97498696,3443,W 52 St & 6 Ave,40.76132983124814,-73.979820013046265,9
3254,Soissons Landing,40.69231660719192,-74.014865756034851,3479,Picnic Point,40.685125595154148,-74.025353193283081,9
519,Pershing Square North,40.751873,-73.977706,435,W 21 St & 6 Ave,40.74173969,-73.99415556,9
368,Carmine St & 6 Ave,40.73038599,-74.00214988,168,W 18 St & 6 Ave,40.73971301,-73.99456405,8
2008,Little West St & 1 Pl,40.70569254,-74.01677685,426,West St & Chambers St,40.71754834,-74.01322069,8
3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,442,W 27 St & 7 Ave,40.746647,-73.993915,8
492,W 33 St & 7 Ave,40.75019995,-73.99093085,167,E 39 St & 3 Ave,40.7489006,-73.97604882,8
267,Broadway & W 36 St,40.75097711,-73.98765428,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,8
3168,Central Park West & W 85 St,40.78472675,-73.96961715,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,8
3668,Leonard St & Nassau Ave,40.7239567849954,-73.949843645095825,3108,Nassau Ave & Russell St,40.72557,-73.94434,8
3674,Jay St & York St,40.701403172577244,-73.986726701259613,412,Forsyth St & Canal St,40.7158155,-73.99422366,8
3002,South End Ave & Liberty St,40.711512,-74.015756,534,Water - Whitehall Plaza,40.70255065,-74.0127234,8
229,Great Jones St,40.72743423,-73.99379025,285,Broadway & E 14 St,40.73454567,-73.99074142,8
453,W 22 St & 8 Ave,40.74475148,-73.99915362,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,8
472,E 32 St & Park Ave,40.7457121,-73.98194829,528,2 Ave & E 31 St,40.74290902,-73.97706058,8
440,E 45 St & 3 Ave,40.75255434,-73.97282625,492,W 33 St & 7 Ave,40.75019995,-73.99093085,8
3427,Lafayette St & Jersey St,40.724305272503322,-73.996009826660156,293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,8
402,Broadway & E 22 St,40.7403432,-73.98955109,435,W 21 St & 6 Ave,40.74173969,-73.99415556,8
3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,8
3092,Berry St & N 8 St,40.7190095,-73.95852515,3109,Banker St & Meserole Ave,40.72606,-73.95621,8
379,W 31 St & 7 Ave,40.749156,-73.9916,474,5 Ave & E 29 St,40.7451677,-73.98683077,8
427,Bus Slip & State St,40.701907,-74.013942,3002,South End Ave & Liberty St,40.711512,-74.015756,8
477,W 41 St & 8 Ave,40.75640548,-73.9900262,359,E 47 St & Park Ave,40.75510267,-73.97498696,8
3168,Central Park West & W 85 St,40.78472675,-73.96961715,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,8
3263,Cooper Square & Astor Pl,40.729514962249489,-73.990752696990967,432,E 7 St & Avenue A,40.72621788,-73.98379855,8
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,501,FDR Drive & E 35 St,40.744219,-73.97121214,8
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,499,Broadway & W 60 St,40.76915505,-73.98191841,8
505,6 Ave & W 33 St,40.74901271,-73.98848395,472,E 32 St & Park Ave,40.7457121,-73.98194829,8
3659,W 17 St & 9 Ave,40.742948916600909,-74.004136919975281,458,11 Ave & W 27 St,40.751396,-74.005226,8
3419,Douglass St & 4 Ave,40.6792788,-73.98154004,467,Dean St & 4 Ave,40.68312489,-73.97895137,8
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,285,Broadway & E 14 St,40.73454567,-73.99074142,8
358,Christopher St & Greenwich St,40.73291553,-74.00711384,3472,W 15 St & 10 Ave,40.742753828659026,-74.007473587989807,8
3157,East End Ave & E 86 St,40.77518615,-73.94446054,2022,E 60 St & York Ave,40.759107,-73.959223,8
3106,Driggs Ave & N Henry St,40.72325,-73.94308,3086,Graham Ave & Conselyea St,40.715143,-73.944507,8
465,Broadway & W 41 St,40.75513557,-73.98658032,486,Broadway & W 29 St,40.7462009,-73.98855723,8
3078,Broadway & Roebling St,40.709248262761569,-73.960631489753723,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,8
3351,E 102 St & 1 Ave,40.7869946,-73.94164802,3318,2 Ave & E 96 St,40.7839636,-73.9471673,8
492,W 33 St & 7 Ave,40.75019995,-73.99093085,524,W 43 St & 6 Ave,40.75527307,-73.98316936,8
458,11 Ave & W 27 St,40.751396,-74.005226,442,W 27 St & 7 Ave,40.746647,-73.993915,8
239,Willoughby St & Fleet St,40.69196566,-73.9813018,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,8
309,Murray St & West St,40.7149787,-74.013012,387,Centre St & Chambers St,40.71273266,-74.0046073,8
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,435,W 21 St & 6 Ave,40.74173969,-73.99415556,8
417,Barclay St & Church St,40.71291224,-74.01020234,257,Lispenard St & Broadway,40.71939226,-74.00247214,8
3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,8
3150,E 85 St & York Ave,40.77536905,-73.94803392,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,8
3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,466,W 25 St & 6 Ave,40.74395411,-73.99144871,8
497,E 17 St & Broadway,40.73704984,-73.99009296,402,Broadway & E 22 St,40.7403432,-73.98955109,8
379,W 31 St & 7 Ave,40.749156,-73.9916,402,Broadway & E 22 St,40.7403432,-73.98955109,8
2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,8
519,Pershing Square North,40.751873,-73.977706,527,E 33 St & 2 Ave,40.744023,-73.976056,8
498,Broadway & W 32 St,40.74854862,-73.98808416,519,Pershing Square North,40.751873,-73.977706,8
285,Broadway & E 14 St,40.73454567,-73.99074142,433,E 13 St & Avenue A,40.72955361,-73.98057249,8
3142,1 Ave & E 62 St,40.7612274,-73.96094022,3140,1 Ave & E 78 St,40.77140426,-73.9535166,8
