,station_id,station_name,station_latitude,station_longitude,num_trips
288,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,16
289,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,26
290,3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,26
291,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,26
292,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,27
293,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,24
294,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,22
295,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,29
296,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,17
297,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,22
298,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,19
299,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,79
300,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,21
301,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,30
302,3067,Broadway & Whipple St,40.7016657,-73.9437303,34
303,3068,Humboldt St & Varet St,40.7031724,-73.940636,27
304,3069,Lorimer St & Broadway,40.70411791,-73.94818595,15
305,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,32
306,3071,Boerum St & Broadway,40.70538077,-73.94976519,27
307,3072,Leonard St & Boerum St,40.70583339,-73.94644578,21
308,3073,Division Ave & Hooper St,40.70691254,-73.95441667,34
309,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,74
310,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,17
311,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,56
312,3077,Stagg St & Union Ave,40.70877084,-73.95095259,53
313,3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,99
314,3080,S 4 St & Rodney St,40.70934,-73.95608,50
315,3081,Graham Ave & Grand St,40.711863,-73.944024,49
316,3082,Hope St & Union Ave,40.71167351,-73.95141312,69
317,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,46
318,3085,Roebling St & N 4 St,40.71469,-73.95739,83
319,3086,Graham Ave & Conselyea St,40.715143,-73.944507,132
320,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,74
321,3088,Union Ave & Jackson St,40.7160751,-73.952029,26
322,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,173
323,3091,Frost St & Meeker St,40.71764,-73.94882,13
324,3092,Berry St & N 8 St,40.7190095,-73.95852515,123
325,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,225
326,3094,Graham Ave & Withers St,40.7169811,-73.94485918,32
327,3095,Graham Ave & Herbert St,40.71929301,-73.94500379,35
328,3096,Union Ave & N 12 St,40.71924,-73.95242,94
329,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,65
330,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,63
331,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,25
332,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,58
333,3105,N 15 St & Wythe Ave,40.724055,-73.955736,38
334,3106,Driggs Ave & N Henry St,40.72325,-73.94308,61
335,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,159
336,3108,Nassau Ave & Russell St,40.72557,-73.94434,99
337,3109,Banker St & Meserole Ave,40.72606,-73.95621,83
338,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,116
339,3112,Milton St & Franklin St,40.72906,-73.95779,171
340,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,92
341,3115,India St & Manhattan Ave,40.73232194,-73.9550858,88
342,3116,Huron St & Franklin St,40.73266,-73.95826,86
343,3117,Franklin St & Dupont St,40.73564,-73.95866,66
344,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,85
345,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,134
346,3120,Center Blvd & Borden Ave,40.74161,-73.96044,27
347,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,27
348,3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,15
349,3123,31 St & Thomson Ave,40.74469738,-73.93540375,43
350,3124,46 Ave & 5 St,40.74731,-73.95451,84
351,3125,45 Rd & 11 St,40.74708586,-73.94977234,58
352,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,73
353,3127,9 St & 44 Rd,40.74966,-73.9521,16
354,3128,21 St & 43 Ave,40.75052534,-73.94594845,28
355,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,136
356,3130,21 St & Queens Plaza North,40.75325964,-73.94335788,36
357,3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,86
358,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,169
359,3134,3 Ave & E 62 St,40.76312584,-73.96526895,134
360,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,95
361,3136,5 Ave & E 63 St,40.766368,-73.971518,159
362,3137,5 Ave & E 73 St,40.77282817,-73.96685276,257
363,3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,76
364,3140,1 Ave & E 78 St,40.77140426,-73.9535166,207
365,3141,1 Ave & E 68 St,40.76500525,-73.95818491,402
366,3142,1 Ave & E 62 St,40.7612274,-73.96094022,224
367,3143,5 Ave & E 78 St,40.7763214218227,-73.96427392959595,175
368,3144,E 81 St & Park Ave,40.77677702,-73.9590097,42
369,3145,E 84 St & Park Ave,40.77862688,-73.95772073,110
370,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,99
371,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,201
372,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,122
373,3150,E 85 St & York Ave,40.77536905,-73.94803392,94
374,3151,E 81 St & York Ave,40.7728384,-73.94989233,88
375,3152,3 Ave & E 71 St,40.76873687,-73.96119945,56
376,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,161
377,3156,E 72 St & York Ave,40.76663814,-73.95348296,252
378,3157,East End Ave & E 86 St,40.77518615,-73.94446054,75
379,3158,W 63 St & Broadway,40.77163851,-73.98261428,203
380,3159,W 67 St & Broadway,40.77492513,-73.98266566,217
381,3160,Central Park West & W 76 St,40.77896784,-73.97374737,182
382,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552718,166
383,3162,W 78 St & Broadway,40.78339981,-73.98093133,103
384,3163,Central Park West & W 68 St,40.7734066,-73.97782542,299
385,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,324
386,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,365
387,3166,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,130
388,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,283
389,3168,Central Park West & W 85 St,40.78472675,-73.96961715,253
390,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,104
391,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,157
392,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,122
393,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,90
394,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,159
395,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,137
396,3176,W 64 St & West End Ave,40.77452835,-73.98753759,147
397,3177,W 84 St & Broadway,40.7867947,-73.977112,165
398,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,91
399,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,20
